transaction_id,from_account_id,to_account_id,amount,timestamp,channel,merchant_id
T001,A100,A200,250.00,2026-04-01T09:15:00,transfer,
T002,A200,A101,180.00,2026-04-01T10:30:00,transfer,
T003,A300,A400,900.00,2026-04-02T11:00:00,transfer,
T004,A400,A500,875.00,2026-04-02T11:12:00,transfer,
T005,A500,A300,850.00,2026-04-02T11:25:00,transfer,
T006,A600,A700,600.00,2026-04-03T14:20:00,transfer,
T007,A700,A300,550.00,2026-04-03T15:10:00,transfer,
T008,A800,A100,45.00,2026-04-05T08:45:00,transfer,
T009,A101,A800,30.00,2026-04-05T12:00:00,transfer,
T010,A700,,1200.00,2026-04-06T16:45:00,card,M001
T011,A200,,65.50,2026-04-06T18:10:00,card,M002
T012,A300,,400.00,2026-04-07T09:35:00,card,M003
